easting,northing
334742.7,387658.3
335850.1,387500.3
336393.6,389338.6
336435.8,387115.7
334637.1,387779.0
335245.0,387791.6
335578.0,387230.9
336584.2,388603.8
336614.7,388233.9
335982.9,389413.2
335216.8,387889.9
336202.4,388413.3
336906.5,388527.5
335645.9,389437.2
336593.7,388786.5
335165.3,387000.5
335196.5,387724.6
335051.1,387669.6
336953.9,389115.8
335161.6,387187.3
335008.1,387196.5
337442.2,388439.8
335323.6,387962.1
334637.4,389185.2
336096.9,388638.4
337105.5,388171.3
336796.5,388790.9
335131.7,386693.2
336196.7,389028.9
336149.9,388711.7
335235.5,387853.1
335194.8,387654.8
336909.2,388961.7
336684.9,388515.3
334523.8,387052.9
336684.9,388593.0
334829.3,386986.6
335063.1,387940.0
335309.8,387080.4
336693.4,388304.2
334474.4,386878.3
337093.8,389369.9
336692.1,387749.8
334929.8,388372.1
337031.7,388505.5
335187.4,387326.9
334625.0,388226.2
337386.4,387277.4
336732.6,388365.0
335318.2,387364.2
334467.3,388156.8
335543.2,387789.0
335103.5,387393.0
336690.1,387060.2
336678.0,386709.8
335755.4,389348.6
336304.7,388044.3
335491.4,387301.3
336853.8,388527.9
336642.4,386671.0
335654.1,387416.1
336515.3,389030.7
337038.5,388793.8
335129.6,387124.6
335983.6,389187.1
334909.6,387578.3
336436.2,387019.9
335301.3,387825.7
336542.5,388307.5
335100.6,387803.9
335362.8,387146.5
336715.9,388279.0
336091.3,388816.8
335310.5,387429.5
335047.8,387412.7
334758.5,387673.7
335566.7,387406.2
335217.0,387624.5
337076.3,388307.7
335047.8,387626.9
335986.8,389285.5
336593.1,388498.4
336694.6,388166.8
336159.0,388677.1
337217.1,389030.6
335328.0,386850.9
334722.3,387433.8
337007.4,388543.4
337126.2,389087.2
334572.7,387195.4
336485.1,388833.9
336514.8,388255.2
337423.7,387544.7
336544.5,386910.9
335916.5,387464.2
334641.6,387599.1
336486.0,388910.5
336682.7,388228.4
335857.6,388770.2
336687.3,388537.2
336290.9,388255.7
335507.2,387141.7
336603.5,389182.1
337276.0,388601.1
336710.2,388309.7
336992.5,388593.3
335759.7,387569.5
334731.9,388125.3
337036.9,388371.5
335941.8,387927.1
336757.4,388572.7
335931.6,387682.1
337003.6,388796.4
336634.4,387795.7
335939.7,389478.5
335319.5,386919.4
334961.7,387673.0
336314.2,388526.8
334824.5,387236.9
336547.5,388303.2
336341.7,388451.6
335165.3,387599.6
336459.7,387620.3
335471.5,387484.7
334666.1,387360.6
335505.7,387887.7
336662.7,388213.8
334939.7,388014.0
337055.9,388726.5
335551.0,387221.3
335362.7,387702.6
335666.6,388334.7
336491.3,388931.4
335545.3,387476.9
337404.4,388932.4
336590.1,389131.9
334600.7,387788.6
335498.4,387450.1
335655.1,388039.9
335121.3,386864.8
336653.0,388413.1
336933.9,389018.3
337045.4,388911.7
336552.3,388500.3
336629.1,388884.9
336000.5,386884.0
335079.0,387220.1
335580.7,387671.7
336432.3,388855.3
336111.2,388405.5
335440.7,387971.3
337000.2,388073.7
337066.5,388766.3
336749.4,388611.0
334854.2,387324.9
334867.2,388041.1
334807.9,387939.9
334947.2,387164.0
335656.1,387542.5
334840.7,387697.9
334858.7,389357.2
335366.5,387456.7
335694.1,387165.7
335284.7,388022.3
336479.3,388492.5
337449.2,387832.6
335557.1,387098.2
336540.6,388510.9
336190.5,387107.0
337071.0,387349.3
335119.1,387495.3
336858.8,388684.0
335379.8,387361.9
334478.3,387501.2
336110.9,388722.9
335124.0,386907.2
336726.8,388810.9
337083.7,388475.9
336739.3,388281.1
336394.5,388961.1
334929.6,388258.7
336275.3,389196.9
335195.0,388663.7
335185.9,387325.8
335688.9,387379.0
336911.9,389020.6
336800.6,388645.4
336818.9,389550.1
335200.0,386556.9
335700.5,387581.0
334588.5,388313.3
336985.0,388552.3
335688.1,387933.2
335460.5,387193.2
336731.2,388739.5
336391.8,388319.9
336531.7,388299.1
335345.8,387589.9
334821.9,387713.8
335004.5,388803.7
335049.4,387561.4
334413.8,387737.4
336932.5,387006.0
336438.1,388420.6
336985.3,389343.4
336769.7,388728.4
335333.2,388232.5
336657.0,388724.7
337030.9,388700.6
335581.1,387860.8
337352.6,387502.8
337255.7,388726.8
334766.6,387393.4
336895.7,389090.7
337054.3,388403.0
336590.4,388702.2
335142.5,389407.0
334403.2,387715.5
336885.3,388231.7
335202.3,386726.7
336167.7,388652.0
334510.0,387385.0
335869.6,387646.3
336532.1,387497.8
336649.4,388797.6
335510.0,387493.3
336841.3,389015.7
336235.9,386583.4
336895.5,387598.9
335814.5,387704.1
335023.8,387429.4
334995.7,387463.5
334572.3,386895.8
336462.8,389428.8
337003.6,386718.7
336128.4,388542.3
335284.8,386930.6
334864.1,387695.4
336548.7,388541.6
334944.6,386992.4
337350.0,388894.1
335431.9,387800.1
334727.2,387404.4
334937.5,387877.9
334763.0,387666.0
336622.0,388708.9
336814.2,388779.2
336143.6,388570.4
336397.8,388493.7
337088.9,386910.2
336819.2,388715.5
336477.5,388171.1
334528.3,388501.2
335538.0,388049.2
335893.6,387286.4
336509.2,388726.8
335716.7,387377.4
335060.5,387455.5
335314.5,387079.3
336699.1,388770.6
334898.9,386751.8
335037.3,387229.9
337206.3,387782.8
336985.5,388444.7
337454.7,388501.5
336524.5,388000.0
335790.3,388481.8
334981.1,387693.4
334495.9,387941.0
337146.5,388449.4
334944.0,387060.8
336409.8,388726.3
335118.2,387599.2
336561.4,388865.4
335213.0,387081.6
334338.3,387745.2
337067.4,388650.7
335464.4,387650.0
336822.0,388387.0
334744.9,387752.2
336995.0,388936.4
336628.3,388612.4
335176.5,387087.1
335498.3,387396.7
336013.9,388984.8
336145.6,388842.1
335307.1,387734.7
337286.9,388604.5
335194.3,386911.1
336694.9,389071.1
334808.1,387460.5
335266.7,387520.8
335640.3,387663.6
336582.2,389076.6
334746.0,387870.4
335072.3,387530.6
334905.9,387543.9
335366.6,388268.4
336600.2,387785.4
336552.0,388406.4
337320.4,388528.7
335718.7,387463.8
335964.9,387937.0
337086.7,389117.5
336251.2,389035.8
336790.7,388639.4
337399.6,387897.9
336298.9,388437.0
335542.5,387039.1
336896.9,388369.0
336817.1,389420.8
334948.0,388566.5
336675.2,388811.4
335498.4,387178.7
337033.7,388486.3
335269.7,387083.7
335037.4,387962.0
336659.9,388570.0
337385.6,387717.3
335119.6,387833.4
335614.5,389421.5
336755.0,389424.0
335135.4,387990.5
334731.7,387531.0
335429.3,387989.1
335347.4,387771.9
336475.4,388948.9
337435.2,387228.4
336685.4,387903.8
335983.4,387286.7
334868.5,389496.8
336655.3,388618.3
337364.6,388321.3
336206.1,388659.5
334537.4,387374.0
335589.5,389190.3
336675.0,388760.8
334719.5,387271.4
337101.2,388413.6
335653.6,388470.0
337395.5,388546.2
336682.1,388859.0
335411.5,387277.4
