deprivation,prior_count,density,group,target
-0.569,2,0.983,B,0
0.117,3,0.393,B,0
-0.805,1,-0.54,A,0
0.143,0,-0.932,B,0
0.002,2,-0.486,A,0
-0.816,1,0.208,A,0
-0.405,1,0.148,A,0
-0.324,3,-1.455,A,0
0.733,3,-1.278,B,0
-0.875,0,0.13,B,1
-0.809,0,0.579,B,0
-0.374,1,-0.794,A,0
0.564,2,-1.425,A,0
0.727,1,0.029,A,1
0.262,1,-2.208,B,0
0.715,7,-0.39,A,1
1.162,3,0.594,B,1
0.158,3,-0.247,A,0
-0.802,1,-1.568,A,0
-0.077,4,1.506,A,0
-1.362,1,0.006,B,0
0.395,2,0.208,B,0
-0.492,0,0.878,A,0
0.112,6,-0.182,A,0
-0.085,0,-0.275,B,0
-0.383,1,1.227,B,0
0.225,2,-0.818,A,0
-0.125,3,0.915,B,0
-0.63,0,-1.131,A,0
-1.098,1,-0.729,A,0
0.356,3,0.291,B,0
-1.206,0,1.428,B,0
1.795,9,0.147,A,1
1.287,4,-1.4,B,0
-1.59,1,0.711,A,0
0.628,1,-0.794,A,1
1.138,3,0.633,B,1
-0.586,2,0.287,B,1
0.351,2,-1.501,A,0
-0.125,1,0.36,B,0
0.682,2,-1.235,A,0
-0.446,2,1.352,A,0
1.014,4,-1.573,B,0
-0.143,3,-0.159,A,0
-0.317,2,-0.946,A,0
0.648,2,1.411,B,0
0.901,5,-1.549,A,0
-2.336,1,2.331,A,0
-2.904,0,-0.361,A,0
0.342,2,-0.564,A,1
-0.662,0,0.773,B,0
-1.321,1,-0.034,A,0
-0.374,1,-0.85,A,0
2.911,10,-0.764,B,1
-1.33,0,-0.497,A,0
0.886,2,-0.693,A,0
-0.761,1,0.81,B,0
-1.452,0,0.086,B,0
-0.612,1,0.463,B,0
-1.421,1,-0.419,B,0
-1.568,1,0.644,A,1
-0.725,3,-0.694,B,0
-1.09,0,-0.921,A,0
-0.146,3,-0.509,B,0
0.169,3,1.425,B,1
-0.789,1,-0.576,B,0
0.63,1,-0.531,A,0
-0.664,1,0.218,B,0
-0.154,3,-0.131,A,0
-2.169,0,-1.087,A,0
0.082,2,-1.181,B,0
2.252,5,0.749,B,1
0.795,4,-1.188,A,0
-0.173,3,0.884,A,0
-1.158,0,-0.467,B,0
1.632,4,-2.323,B,1
-0.161,3,0.647,A,0
-0.673,1,0.802,B,0
-0.648,2,0.582,A,0
2.073,5,-0.466,A,1
-0.118,2,-0.355,A,0
0.451,2,-0.455,A,0
-0.203,2,-0.721,B,0
-0.065,3,0.281,A,0
-0.425,0,-0.205,A,0
1.422,4,-0.464,B,1
0.044,4,-0.712,B,0
-1.408,1,0.148,A,0
0.394,0,1.268,B,1
-0.115,2,0.119,B,0
0.381,1,-1.355,B,1
-0.332,2,-0.024,A,0
-0.541,3,0.481,B,0
0.894,0,0.71,B,0
1.859,6,0.516,A,1
-1.859,1,0.134,B,0
0.082,3,2.711,A,0
-0.54,2,-1.191,B,0
-0.912,2,1.49,A,0
-2.157,0,0.554,A,0
0.361,0,2.294,B,0
-0.483,2,-1.449,A,0
-0.543,0,1.537,B,0
1.203,6,1.638,A,0
-0.439,1,-0.157,A,0
-0.482,4,-0.85,A,0
-1.336,0,2.123,A,0
-0.908,1,-0.824,A,0
1.466,6,1.047,B,1
0.612,4,1.495,A,1
1.288,6,-0.161,A,1
-0.841,1,-0.167,B,0
0.361,1,1.765,B,0
1.048,5,-0.307,A,0
0.579,2,-0.558,B,0
1.58,3,-2.699,A,0
0.402,3,1.122,A,0
-0.002,0,-0.373,A,0
-2.354,0,0.783,A,0
0.417,0,-0.147,B,0
0.598,5,1.335,B,0
1.148,2,1.375,A,0
-0.795,2,-0.995,A,0
-0.034,1,-0.464,A,0
-1.59,0,0.581,B,0
-1.613,0,1.407,B,0
0.513,0,0.113,A,0
1.267,4,0.214,A,0
1.302,2,0.349,B,0
0.438,6,-0.876,B,1
2.046,8,-0.453,A,1
-0.393,2,-0.185,A,0
0.898,7,1.001,B,0
-1.318,2,1.795,B,0
-3.143,0,-0.91,A,0
-0.481,1,0.722,A,0
-0.121,2,0.218,A,0
0.235,3,-0.502,A,0
-0.186,1,-0.96,A,0
0.361,2,0.229,A,0
1.74,2,-0.585,A,1
0.738,3,0.373,B,1
-0.766,1,-1.002,A,0
-2.513,0,-1.104,A,0
-1.075,2,1.075,A,0
1.343,3,0.195,A,0
-0.504,1,0.172,A,0
0.679,4,-0.506,A,0
0.64,0,0.758,A,1
-0.056,5,-0.183,A,1
-0.087,4,0.778,A,1
-0.664,1,-0.453,B,0
2.227,5,-1.062,A,0
-0.956,2,-0.727,B,0
1.121,3,0.423,A,0
0.831,1,-0.988,A,1
0.615,1,1.812,A,0
-0.12,4,-1.361,A,0
-1.48,1,-0.15,B,0
-1.148,1,1.191,B,0
-0.775,2,0.286,A,0
0.37,1,-0.353,B,1
0.891,3,1.151,B,0
0.314,3,-0.929,A,0
0.26,1,-0.288,A,0
1.042,5,-1.617,B,0
-2.09,0,0.884,B,0
-2.207,0,0.56,A,0
-1.548,1,0.563,B,0
0.926,2,0.13,B,0
-2.009,0,0.081,B,0
-0.01,3,0.108,B,1
-0.91,1,0.305,A,0
0.155,1,0.13,A,0
-0.142,2,-0.932,B,0
0.25,1,-2.258,A,0
-0.399,1,2.088,B,0
0.707,2,-0.648,A,1
1.463,6,-0.176,A,0
1.265,3,1.113,B,0
-0.362,2,0.337,B,1
-0.865,0,-1.43,A,0
0.196,3,-1.165,B,0
1.975,4,0.88,A,1
-0.053,1,0.597,A,0
0.839,2,-0.516,B,0
0.784,2,-0.041,B,0
0.772,3,0.038,B,0
1.273,4,0.248,A,0
-1.317,0,0.421,B,0
-0.963,1,-0.389,A,0
0.048,2,0.701,A,1
1.23,2,0.594,B,0
1.228,1,0.872,A,1
-0.046,3,0.771,A,0
0.998,5,0.745,A,0
-0.422,1,-0.455,A,0
-0.826,2,-0.124,B,0
-1.329,1,-0.851,B,0
-0.137,1,0.201,A,0
-0.347,1,-0.801,B,1
1.003,4,0.47,A,0
0.563,3,1.199,A,0
0.054,0,-0.001,B,0
0.058,2,-0.541,B,0
-0.419,1,0.494,A,0
-1.779,0,1.032,A,0
-1.182,0,-0.748,B,0
0.787,2,0.116,B,0
-0.138,3,0.314,A,0
-1.312,0,-0.278,A,0
1.367,5,0.513,B,0
1.698,1,-1.638,B,0
1.205,4,0.344,A,1
0.424,0,1.794,B,0
0.286,2,0.56,A,1
-0.025,2,0.038,A,0
0.163,2,-1.216,A,0
0.629,1,-0.343,B,0
0.707,6,0.309,A,0
0.454,0,0.093,A,0
-3.277,2,-1.234,B,0
1.151,0,0.249,A,1
0.199,0,-0.857,B,0
-1.357,1,-0.575,A,0
0.198,3,0.897,A,0
0.302,3,-0.239,A,0
-1.571,0,-0.646,B,0
-0.643,0,-0.985,A,0
-1.106,1,-0.715,A,0
-0.974,1,-0.54,B,0
0.57,3,0.858,B,1
-0.622,2,-0.032,A,0
0.093,3,1.204,A,0
0.738,2,-1.168,A,0
-0.434,2,1.291,A,1
0.778,2,-0.15,A,1
1.355,4,-0.226,A,0
0.846,3,-0.238,B,0
0.6,1,2.26,A,0
0.854,2,-0.477,B,1
0.395,2,2.071,B,0
0.849,6,0.863,A,1
-1.174,0,-1.105,A,0
-0.075,3,-0.962,A,0
0.392,1,0.192,A,0
-0.075,1,0.104,B,0
2.502,4,-0.398,B,1
-0.191,3,-0.535,B,0
-1.783,1,1.549,A,0
0.055,4,0.154,B,0
0.828,3,0.47,A,0
-0.873,1,0.117,B,0
-0.037,1,0.043,B,0
-0.073,1,2.155,A,0
-0.06,0,0.573,B,1
-0.598,4,2.63,A,0
1.097,2,0.778,B,0
2.167,5,-0.652,B,1
-0.84,2,1.244,A,0
-1.307,2,-0.077,A,0
-0.438,0,1.525,A,0
1.407,4,-0.676,B,0
-0.258,1,-1.585,A,0
0.366,1,0.102,B,0
-0.912,0,1.468,A,0
1.784,5,-0.631,A,1
-0.295,1,0.58,B,0
0.249,1,-0.674,B,0
-0.796,2,0.944,A,0
-0.892,1,-0.365,B,0
-0.004,3,0.268,B,0
0.104,2,-0.333,B,1
0.863,1,-0.75,A,0
-1.688,0,-1.923,A,0
-0.951,1,-1.3,A,1
-0.687,0,-0.278,A,0
0.12,0,0.449,A,0
-1.13,1,1.854,A,0
-0.095,5,-0.52,A,0
-0.644,2,-0.637,B,0
-0.136,1,-1.325,A,0
-0.775,3,0.856,A,1
-1.012,2,0.571,A,0
0.285,2,0.447,B,0
1.113,7,0.345,B,1
0.813,3,-0.373,A,0
1.113,6,1.358,B,1
1.23,4,-0.777,B,0
-0.161,1,-0.474,B,0
1.871,5,-1.016,A,0
0.756,5,-0.129,B,1
-0.95,2,-0.775,B,0
-0.669,2,-0.629,B,0
0.151,2,-1.2,B,0
0.881,1,-0.958,A,0
-0.229,0,-1.609,A,0
-0.971,2,0.358,A,0
0.79,3,-0.862,A,0
-1.117,3,1.611,B,0
0.304,2,0.947,B,0
0.043,2,0.07,A,0
-1.342,0,0.57,A,0
1.777,3,0.859,A,1
0.017,1,-0.495,A,1
-1.186,1,-0.203,B,0
0.049,0,1.078,B,1
-1.73,0,1.143,A,0
0.361,2,-0.771,B,0
0.861,4,2.296,A,1
2.702,12,-1.353,B,1
0.098,1,-2.286,A,0
-0.659,1,1.723,A,0
0.207,4,0.729,A,0
1.44,3,0.185,A,1
0.501,2,0.81,A,0
0.833,2,-0.679,A,0
0.76,4,-1.738,A,0
0.506,3,-0.45,A,0
-1.402,3,-0.697,A,0
-1.456,3,-0.988,A,0
-1.579,3,-0.603,A,0
-1.197,0,-0.589,A,0
-1.082,1,-0.472,A,0
1.86,7,0.381,B,1
-0.707,1,0.558,A,0
0.1,3,0.3,A,0
-0.244,1,-2.541,A,0
0.194,5,-1.017,A,0
0.07,2,-1.004,A,0
-1.256,1,1.197,B,0
0.598,5,-0.848,A,0
-0.68,2,-1.897,B,0
-0.713,1,0.689,A,0
-0.306,0,0.091,A,0
0.809,4,2.514,A,0
-0.625,1,-1.381,A,0
0.092,1,-0.218,A,0
0.403,1,-1.037,A,0
0.257,2,-1.035,A,0
0.202,2,-0.823,A,0
-1.404,1,-1.098,A,0
0.127,2,0.186,A,0
-0.915,1,0.063,A,0
-1.76,0,-0.032,B,0
-0.463,0,1.268,B,0
-0.519,0,0.558,A,0
2.96,7,0.835,A,1
0.976,5,0.161,A,0
0.784,4,0.309,B,1
-0.408,1,0.928,A,0
-0.185,0,-1.143,A,0
2.572,4,-0.654,A,0
-0.636,3,0.073,A,0
0.255,4,0.042,B,0
1.841,3,-1.421,A,0
-0.724,0,0.762,A,0
0.15,1,1.439,B,0
-0.018,1,1.364,A,0
-0.889,2,-0.693,B,0
0.775,4,0.85,A,0
-1.115,2,-0.403,B,0
0.776,1,0.07,A,1
0.43,0,1.102,A,0
0.898,1,1.341,B,0
-0.194,1,-0.442,A,0
0.389,1,-0.519,A,1
1.026,2,1.498,B,0
-1.409,0,-0.101,B,0
-1.208,1,-3.001,A,0
0.582,3,0.44,A,0
0.823,2,-0.801,A,0
0.136,2,-0.284,A,0
0.92,4,0.593,A,1
-0.362,0,-1.849,A,0
1.267,5,0.764,A,1
-0.073,6,-1.515,A,1
-0.779,2,-0.743,B,0
1.425,4,0.318,A,0
0.827,2,-1.23,B,0
-0.45,1,-1.227,B,0
-0.43,2,0.335,B,0
0.601,1,0.529,A,1
-1.001,0,-0.178,B,0
0.321,1,0.62,B,1
-0.169,2,4.028,A,1
0.215,3,-1.49,B,0
-2.021,0,-2.239,B,0
-0.907,3,1.123,B,0
0.254,0,-1.183,A,0
1.053,3,0.37,A,0
-0.131,5,0.607,A,0
0.723,3,-0.035,B,1
-1.482,0,0.278,B,1
-0.449,2,1.709,A,0
0.28,2,-0.612,B,0
-0.062,3,1.277,B,0
0.763,7,-1.31,A,0
-0.257,3,0.351,B,0
-0.247,2,0.487,A,1
0.654,2,-0.076,A,0
-0.537,2,0.97,A,0
-0.908,0,0.043,A,0
0.465,0,0.333,A,0
-0.964,2,-0.706,A,0
1.419,1,-0.998,B,0
-1.842,0,-1.023,B,0
-0.298,0,-0.613,B,0
1.627,5,-1.281,A,0
1.976,4,1.868,B,1
-0.091,0,-0.308,B,1
1.104,2,-0.009,A,1
0.775,5,-1.148,A,0
-0.492,1,2.044,A,0
0.467,3,-0.255,A,1
-0.862,0,-0.589,B,0
-1.562,1,-0.497,B,0
0.504,4,-0.211,A,0
0.563,0,-0.304,A,0
-1.185,1,-1.346,B,0
-0.143,1,0.86,B,0
-1.186,0,-1.114,A,0
-0.461,1,0.809,A,0
-0.436,1,-1.33,A,0
0.741,3,0.173,B,0
-0.5,1,-1.024,A,0
-1.262,0,-0.728,A,0
1.716,3,0.481,A,0
0.495,3,1.181,A,0
0.896,4,1.823,A,0
0.608,5,0.373,A,0
0.941,4,-0.005,B,0
0.437,1,-0.963,A,0
0.465,2,-1.789,B,0
0.127,2,0.62,B,0
-0.439,2,-0.253,A,0
0.887,3,0.009,A,0
-0.265,3,-0.398,A,0
0.118,1,-0.718,A,0
0.37,2,0.677,B,0
0.455,0,1.705,B,1
-1.014,1,-1.2,A,0
0.201,1,-1.874,B,0
-1.021,0,-0.235,B,0
0.179,5,-0.718,A,0
0.78,3,1.184,A,1
1.8,6,0.506,B,1
0.578,2,1.896,A,1
0.864,5,1.078,B,0
-1.088,5,0.105,A,0
0.538,2,0.148,A,0
-1.115,0,0.391,A,0
1.202,0,-0.91,A,0
-1.066,1,0.435,A,1
-0.977,0,1.371,A,0
0.755,2,-0.632,B,0
1.68,6,-0.242,A,0
1.058,1,0.657,A,0
-0.354,0,1.499,B,0
-0.989,1,-0.742,B,0
-0.428,0,0.245,B,0
0.126,2,-0.031,A,0
-0.077,0,-0.274,A,1
-1.029,0,-1.859,A,0
1.286,1,-0.744,A,0
1.308,3,-1.228,A,0
1.885,1,-0.134,B,1
-1.66,1,-0.453,B,0
-0.809,1,-1.189,B,0
0.251,1,-0.266,A,0
0.005,2,1.866,B,0
-0.45,0,-0.663,B,0
-0.856,2,-0.388,A,0
-0.998,2,-0.226,A,0
2.026,7,-0.728,B,0
-1.427,0,-1.578,A,0
-1.558,1,1.809,A,0
-1.188,0,-1.831,B,0
0.192,1,-1.714,A,0
-0.273,0,0.749,A,0
0.414,3,-2.049,A,0
-0.707,2,0.771,B,0
0.088,3,0.861,B,0
0.085,3,-0.802,B,0
1.575,8,0.042,B,1
1.779,5,-0.05,B,1
-0.151,0,-0.805,A,0
0.855,1,-0.615,A,0
0.162,1,-0.157,B,1
0.771,4,-0.467,A,0
0.385,4,0.576,B,0
0.736,5,-0.15,A,0
0.853,3,0.451,A,0
0.425,2,-0.388,A,0
0.137,0,0.64,B,0
1.043,3,0.884,B,1
-0.135,1,-1.98,A,0
-0.576,2,0.378,A,1
-1.554,0,-0.695,B,0
0.425,0,-0.439,A,0
0.692,3,0.313,A,0
