area,period,treated,post,crime
0,0,1,0,83.3
0,1,1,0,84.7
0,2,1,0,84.8
0,3,1,0,89.4
0,4,1,0,88.8
0,5,1,0,84.2
0,6,1,1,78.6
0,7,1,1,79.1
0,8,1,1,85.6
0,9,1,1,87.0
0,10,1,1,88.0
0,11,1,1,85.9
1,0,1,0,54.7
1,1,1,0,52.2
1,2,1,0,54.9
1,3,1,0,57.6
1,4,1,0,46.7
1,5,1,0,56.4
1,6,1,1,53.8
1,7,1,1,45.6
1,8,1,1,47.2
1,9,1,1,48.3
1,10,1,1,48.0
1,11,1,1,57.6
2,0,1,0,56.2
2,1,1,0,55.1
2,2,1,0,60.2
2,3,1,0,69.1
2,4,1,0,61.3
2,5,1,0,60.2
2,6,1,1,59.7
2,7,1,1,56.6
2,8,1,1,69.4
2,9,1,1,64.3
2,10,1,1,63.4
2,11,1,1,64.7
3,0,1,0,52.0
3,1,1,0,64.9
3,2,1,0,60.2
3,3,1,0,56.7
3,4,1,0,59.6
3,5,1,0,57.0
3,6,1,1,57.2
3,7,1,1,40.9
3,8,1,1,53.1
3,9,1,1,52.3
3,10,1,1,61.3
3,11,1,1,58.9
4,0,1,0,43.3
4,1,1,0,44.8
4,2,1,0,51.9
4,3,1,0,48.3
4,4,1,0,48.2
4,5,1,0,49.8
4,6,1,1,33.6
4,7,1,1,40.7
4,8,1,1,37.3
4,9,1,1,54.4
4,10,1,1,45.6
4,11,1,1,51.4
5,0,1,0,47.4
5,1,1,0,48.8
5,2,1,0,53.5
5,3,1,0,52.0
5,4,1,0,51.1
5,5,1,0,46.7
5,6,1,1,57.1
5,7,1,1,47.2
5,8,1,1,49.0
5,9,1,1,49.4
5,10,1,1,58.5
5,11,1,1,51.5
6,0,1,0,53.9
6,1,1,0,59.1
6,2,1,0,55.4
6,3,1,0,56.9
6,4,1,0,57.4
6,5,1,0,57.2
6,6,1,1,59.7
6,7,1,1,50.2
6,8,1,1,56.3
6,9,1,1,53.6
6,10,1,1,59.5
6,11,1,1,58.0
7,0,1,0,59.3
7,1,1,0,55.7
7,2,1,0,61.1
7,3,1,0,55.3
7,4,1,0,64.6
7,5,1,0,62.9
7,6,1,1,57.2
7,7,1,1,59.5
7,8,1,1,61.1
7,9,1,1,52.5
7,10,1,1,61.4
7,11,1,1,65.2
8,0,1,0,79.9
8,1,1,0,78.7
8,2,1,0,69.1
8,3,1,0,75.4
8,4,1,0,78.9
8,5,1,0,78.3
8,6,1,1,68.7
8,7,1,1,71.3
8,8,1,1,73.0
8,9,1,1,70.2
8,10,1,1,74.9
8,11,1,1,70.2
9,0,1,0,75.7
9,1,1,0,80.6
9,2,1,0,80.6
9,3,1,0,81.4
9,4,1,0,84.5
9,5,1,0,87.8
9,6,1,1,76.9
9,7,1,1,81.0
9,8,1,1,80.9
9,9,1,1,75.0
9,10,1,1,81.5
9,11,1,1,81.7
10,0,1,0,66.8
10,1,1,0,65.7
10,2,1,0,67.9
10,3,1,0,68.2
10,4,1,0,66.5
10,5,1,0,75.0
10,6,1,1,65.6
10,7,1,1,72.1
10,8,1,1,64.9
10,9,1,1,64.6
10,10,1,1,59.6
10,11,1,1,78.5
11,0,1,0,67.0
11,1,1,0,71.9
11,2,1,0,66.9
11,3,1,0,64.7
11,4,1,0,72.3
11,5,1,0,69.0
11,6,1,1,55.8
11,7,1,1,70.4
11,8,1,1,61.1
11,9,1,1,63.7
11,10,1,1,71.0
11,11,1,1,61.0
12,0,1,0,61.6
12,1,1,0,66.0
12,2,1,0,65.4
12,3,1,0,67.1
12,4,1,0,68.9
12,5,1,0,72.4
12,6,1,1,57.9
12,7,1,1,57.0
12,8,1,1,58.4
12,9,1,1,65.8
12,10,1,1,63.4
12,11,1,1,63.3
13,0,1,0,70.6
13,1,1,0,75.8
13,2,1,0,71.9
13,3,1,0,74.2
13,4,1,0,71.6
13,5,1,0,65.9
13,6,1,1,65.4
13,7,1,1,65.8
13,8,1,1,64.6
13,9,1,1,71.9
13,10,1,1,76.1
13,11,1,1,71.7
14,0,1,0,60.8
14,1,1,0,63.7
14,2,1,0,63.1
14,3,1,0,67.9
14,4,1,0,70.2
14,5,1,0,75.9
14,6,1,1,60.0
14,7,1,1,62.6
14,8,1,1,69.2
14,9,1,1,64.5
14,10,1,1,69.1
14,11,1,1,66.3
15,0,1,0,65.5
15,1,1,0,69.6
15,2,1,0,62.5
15,3,1,0,68.7
15,4,1,0,67.4
15,5,1,0,62.6
15,6,1,1,59.8
15,7,1,1,60.6
15,8,1,1,66.5
15,9,1,1,62.4
15,10,1,1,67.5
15,11,1,1,68.4
16,0,1,0,63.3
16,1,1,0,60.5
16,2,1,0,71.3
16,3,1,0,66.5
16,4,1,0,74.4
16,5,1,0,71.1
16,6,1,1,64.7
16,7,1,1,68.0
16,8,1,1,69.4
16,9,1,1,67.7
16,10,1,1,67.4
16,11,1,1,70.2
17,0,1,0,49.5
17,1,1,0,43.3
17,2,1,0,45.9
17,3,1,0,47.6
17,4,1,0,51.9
17,5,1,0,51.0
17,6,1,1,47.4
17,7,1,1,48.0
17,8,1,1,43.9
17,9,1,1,45.1
17,10,1,1,48.5
17,11,1,1,53.6
18,0,1,0,66.8
18,1,1,0,64.5
18,2,1,0,70.7
18,3,1,0,69.3
18,4,1,0,66.7
18,5,1,0,69.2
18,6,1,1,66.7
18,7,1,1,70.7
18,8,1,1,59.0
18,9,1,1,68.2
18,10,1,1,61.9
18,11,1,1,66.5
19,0,1,0,64.2
19,1,1,0,61.7
19,2,1,0,64.4
19,3,1,0,71.1
19,4,1,0,68.9
19,5,1,0,69.7
19,6,1,1,67.0
19,7,1,1,67.3
19,8,1,1,63.8
19,9,1,1,69.0
19,10,1,1,66.7
19,11,1,1,69.3
20,0,0,0,44.0
20,1,0,0,48.1
20,2,0,0,44.2
20,3,0,0,48.5
20,4,0,0,44.6
20,5,0,0,55.1
20,6,0,1,59.0
20,7,0,1,50.6
20,8,0,1,49.5
20,9,0,1,59.2
20,10,0,1,59.2
20,11,0,1,61.3
21,0,0,0,66.2
21,1,0,0,72.3
21,2,0,0,73.9
21,3,0,0,76.9
21,4,0,0,78.7
21,5,0,0,68.7
21,6,0,1,77.1
21,7,0,1,74.8
21,8,0,1,67.6
21,9,0,1,78.5
21,10,0,1,74.7
21,11,0,1,78.8
22,0,0,0,56.1
22,1,0,0,48.5
22,2,0,0,50.3
22,3,0,0,59.0
22,4,0,0,56.8
22,5,0,0,64.0
22,6,0,1,61.6
22,7,0,1,63.7
22,8,0,1,56.3
22,9,0,1,63.1
22,10,0,1,70.2
22,11,0,1,59.7
23,0,0,0,59.7
23,1,0,0,62.4
23,2,0,0,65.5
23,3,0,0,64.2
23,4,0,0,73.0
23,5,0,0,56.7
23,6,0,1,56.5
23,7,0,1,67.5
23,8,0,1,74.8
23,9,0,1,70.3
23,10,0,1,70.4
23,11,0,1,65.7
24,0,0,0,55.4
24,1,0,0,58.1
24,2,0,0,59.4
24,3,0,0,63.9
24,4,0,0,60.6
24,5,0,0,60.1
24,6,0,1,64.8
24,7,0,1,65.9
24,8,0,1,62.2
24,9,0,1,69.9
24,10,0,1,64.5
24,11,0,1,73.4
25,0,0,0,51.2
25,1,0,0,68.1
25,2,0,0,58.6
25,3,0,0,63.6
25,4,0,0,60.3
25,5,0,0,67.0
25,6,0,1,65.9
25,7,0,1,63.1
25,8,0,1,69.3
25,9,0,1,71.3
25,10,0,1,66.1
25,11,0,1,68.9
26,0,0,0,77.5
26,1,0,0,82.4
26,2,0,0,82.4
26,3,0,0,84.7
26,4,0,0,85.5
26,5,0,0,71.8
26,6,0,1,81.8
26,7,0,1,83.9
26,8,0,1,87.5
26,9,0,1,84.0
26,10,0,1,88.3
26,11,0,1,84.9
27,0,0,0,54.6
27,1,0,0,43.3
27,2,0,0,51.3
27,3,0,0,51.0
27,4,0,0,47.0
27,5,0,0,55.9
27,6,0,1,47.5
27,7,0,1,51.9
27,8,0,1,55.9
27,9,0,1,54.8
27,10,0,1,55.2
27,11,0,1,49.2
28,0,0,0,69.8
28,1,0,0,65.4
28,2,0,0,72.3
28,3,0,0,70.8
28,4,0,0,75.4
28,5,0,0,75.3
28,6,0,1,72.2
28,7,0,1,82.9
28,8,0,1,72.2
28,9,0,1,64.9
28,10,0,1,67.7
28,11,0,1,81.1
29,0,0,0,39.3
29,1,0,0,47.6
29,2,0,0,34.2
29,3,0,0,44.5
29,4,0,0,46.4
29,5,0,0,41.7
29,6,0,1,50.1
29,7,0,1,49.5
29,8,0,1,53.9
29,9,0,1,52.5
29,10,0,1,51.9
29,11,0,1,56.5
30,0,0,0,75.7
30,1,0,0,73.8
30,2,0,0,75.8
30,3,0,0,71.1
30,4,0,0,73.9
30,5,0,0,78.0
30,6,0,1,78.3
30,7,0,1,81.0
30,8,0,1,85.5
30,9,0,1,80.5
30,10,0,1,76.2
30,11,0,1,79.8
31,0,0,0,60.2
31,1,0,0,58.0
31,2,0,0,63.9
31,3,0,0,62.3
31,4,0,0,68.8
31,5,0,0,73.7
31,6,0,1,73.5
31,7,0,1,66.4
31,8,0,1,68.8
31,9,0,1,66.3
31,10,0,1,78.1
31,11,0,1,75.4
32,0,0,0,75.2
32,1,0,0,72.2
32,2,0,0,68.1
32,3,0,0,77.6
32,4,0,0,86.0
32,5,0,0,82.2
32,6,0,1,79.5
32,7,0,1,84.6
32,8,0,1,85.3
32,9,0,1,88.7
32,10,0,1,81.4
32,11,0,1,87.7
33,0,0,0,40.6
33,1,0,0,52.1
33,2,0,0,55.5
33,3,0,0,51.7
33,4,0,0,52.5
33,5,0,0,55.5
33,6,0,1,59.9
33,7,0,1,60.1
33,8,0,1,59.0
33,9,0,1,61.7
33,10,0,1,63.4
33,11,0,1,57.0
34,0,0,0,59.1
34,1,0,0,69.8
34,2,0,0,70.1
34,3,0,0,68.1
34,4,0,0,68.4
34,5,0,0,74.9
34,6,0,1,72.6
34,7,0,1,73.7
34,8,0,1,75.2
34,9,0,1,76.7
34,10,0,1,81.0
34,11,0,1,71.1
35,0,0,0,51.0
35,1,0,0,61.9
35,2,0,0,58.9
35,3,0,0,63.3
35,4,0,0,60.8
35,5,0,0,61.8
35,6,0,1,64.5
35,7,0,1,67.8
35,8,0,1,71.4
35,9,0,1,66.9
35,10,0,1,71.6
35,11,0,1,73.9
36,0,0,0,57.6
36,1,0,0,52.1
36,2,0,0,54.9
36,3,0,0,63.9
36,4,0,0,51.9
36,5,0,0,60.7
36,6,0,1,63.6
36,7,0,1,65.5
36,8,0,1,66.8
36,9,0,1,66.0
36,10,0,1,66.6
36,11,0,1,65.9
37,0,0,0,75.5
37,1,0,0,74.7
37,2,0,0,74.5
37,3,0,0,73.6
37,4,0,0,77.0
37,5,0,0,74.5
37,6,0,1,85.1
37,7,0,1,77.3
37,8,0,1,77.0
37,9,0,1,95.1
37,10,0,1,83.8
37,11,0,1,82.1
38,0,0,0,60.8
38,1,0,0,64.6
38,2,0,0,71.7
38,3,0,0,78.3
38,4,0,0,75.0
38,5,0,0,75.0
38,6,0,1,78.9
38,7,0,1,73.4
38,8,0,1,69.9
38,9,0,1,74.1
38,10,0,1,83.6
38,11,0,1,74.6
39,0,0,0,59.1
39,1,0,0,61.8
39,2,0,0,63.7
39,3,0,0,65.1
39,4,0,0,75.5
39,5,0,0,68.0
39,6,0,1,71.9
39,7,0,1,67.5
39,8,0,1,76.5
39,9,0,1,66.6
39,10,0,1,75.0
39,11,0,1,71.7
